  words count
1           0
                                 words count
1                                      78125
818                               like   246
819                              limbs     7
820                            lincoln     6
821                               list     4
822                             little   446
823                               live    58
824                         livelihood     1
825                           llywelyn     3
826                               loan     2
827                             london    43
828                               long   296
829                     long-continued     2
830                             longer    67
831                               lord    72
832                             lord's     5
833                              lords    14
834                               lose    26
835                              lower    32
836                              loyal     7
837                               made   379
838                              magna     6
839                           maintain    11
840                           majority    19
841                               make   271
842                             making    95
843                                man   532
844                              man's    33
845                            mangled     2
846                             manner    89
847                             manors     3
848                               many   425
849                               marc     1
850                            marches    11
851                               mark    17
852                           marriage    36
853                            married    29
854                              marry    17
855                           marrying     4
856                            marshal    78
857                           marshall     2
858                           martigny     3
859                             master    33
860                             matter    80
861                            matters    32
862                            matthew     5
863                                may   311
864                             meadow     4
865                               mean    46
866                              means    86
867                            measure    21
868                           measures    14
869                             medway     3
870                            meeting    25
871                              meets     6
872                             member    17
873                                men   408
874                            mention    20
875                          mentioned    34
876                        mercenaries     1
877                          mercenary     2
878                        merchandise     5
879                           merchant     8
880                          merchants    20
881                              mercy    15
882                            michael     2
883                              might   172
884                           military    27
885                              mills     6
886                             minded     1
887                              minor     4
888                            missing     4
889                             molest     3
890                          molesting     2
891                              money    48
892                               more   692
893                           moreover    25
894                               mort     3
895                               most   351
896                            movable     5
897                               move    26
898                           moveover     3
899                               must   339
900                              named    32
901                             namely    14
902                            natives    14
903                            nearest    11
904                        necessaries     6
905                          necessity    14
906                               need    48
907                              needs    32
908                       neighborhood     8
909                      neighbourhood     8
910                            neither    57
911                             nephew     3
912                              never   291
913                       nevertheless     7
914                            neville     3
915                        next-of-kin     2
916                                 no   690
917                               none    43
918                                nor   157
919                             normal    24
920                           normandy     3
921                                not  1683
922                               note    21
923                            nothing   190
924                             notice    28
925                           notified     2
926                         nottingham     3
927                              novel     5
928                               null     3
929                             number    65
930                               oath     7
931                          obedience    17
932                               obey     8
933                             obeyed     2
934                         obligation     2
935                        obligations     3
936                         observance     5
937                        observances     2
938                            observe    18
939                           observed    44
940                             obtain    12
941                           obtained    21
942                          obtaining     6
943                           occasion    47
944                         occasioned     7
945                          occasions    27
946                                 of 11341
947                            offence    10
948                           offences     2
949                             offend     2
950                            offense    12
951                           offenses     1
952                             offers     2
953                           officers    29
954                            offices     7
955                           official    59
956                          officials     9
957                                old   227
958                                 on  1410
959                               once   257
960                                one  1335
961                               only   370
962                                 or  1406
963                             ordain     2
964                              order    58
965                           ordering     3
966                             orders    10
967                           ordinary    49
968                              other   466
969                             others   167
